Gemeinden,Anzahl_Fahrzeuge,Postleitzahl,Laengengrad,Breitengrad,Distanz_in_km
AACH,3,54298,6.590527,49.789601,564.24
AACH1,11,78267,8.851043,47.8428,613.29
AACHEN,1470,52062,6.0848,50.773516,541.42
AARBERGEN,64,65326,8.076766,50.24602,448.27
ABTSGMUEND,69,73453,10.002231,48.894913,469.33
ACHBERG,11,88147,9.713856,47.615122,606.18
ACHSTETTEN,50,88480,9.898085,48.258983,535.52
ADELHEIDSDORF,14,29352,10.059931,52.565363,226.5
ADELMANNSFELDEN,6,73486,10.003628,48.954324,463.53
ADELSHOFEN,7,82276,11.116705,48.18313,509.34
ADELSHOFEN1,8,91587,10.175,49.439981,410.76
ADELSRIED,15,86477,10.719444,48.425522,493.83
ADELZHAUSEN,6,86559,11.137667,48.35707,490.44
ADENBUETTEL,8,38528,10.450974,52.379328,201.01
ADENDORF,84,21365,10.443754,53.287818,216.4
ADLKOFEN,53,84166,12.263172,48.546186,449.66
ADMANNSHAGEN BARGESHAGEN,19,18211,11.984106,54.111554,200.78
ADORF/VOGTL.,53,08626,12.256069,50.320622,257.49
AFFING,58,86444,10.981809,48.457486,483.63
AFFINGHAUSEN,2,27257,8.87991,52.782963,306.94
AGATHENBURG,16,21684,9.528825,53.562845,284.17
AGLASTERHAUSEN,48,74858,8.989348,49.35493,468.96
AHAM,11,84168,12.463722,48.527357,449.41
AHAUSEN,7,27367,9.313313,53.062929,281.95
AHLBECK,1,17375,14.185394,53.669741,138.21
AHLERSTEDT,59,21702,9.451981,53.405314,282.74
AHLSDORF,10,06313,11.469898,51.543838,171.37
AHNSBECK,9,29353,10.2848,52.611286,211.36
AHOLFING,12,94345,12.470108,48.942029,403.7
AHORN,8,74744,9.540368,49.501528,431.35
AHORN1,17,96482,10.952243,50.236693,305.98
AHORNTAL,14,95491,11.401762,49.833646,330.08
AHRBRUECK,8,53506,6.98451,50.483845,499.07
AHRENSHAGEN DASKOW,7,18320,12.600892,54.223811,197.04
AICHA VORM WALD,12,94529,13.291981,48.674871,428.11
AICHEN,7,86479,10.53914,48.227088,519.29
AICHHALDEN,39,78733,8.398748,48.269444,591.39
AICHSTETTEN,21,88317,10.08067,47.892919,566.78
AICHWALD,63,73773,9.379855,48.75899,505.83
AIDHAUSEN,13,97491,10.436956,50.154108,334.56
AIDLINGEN,103,71134,8.896991,48.677969,533.05
AIGLSBACH,15,84089,11.707639,48.692993,442.54
AITERHOFEN,31,94330,12.62018,48.84583,412.73
AITRACH,19,88319,10.083889,47.940739,561.8
AITRANG,10,87648,10.534541,47.817575,561.95
AKEN (ELBE),69,06385,12.043952,51.852549,118.95
ALBACHING,7,83544,12.110817,48.1108,499.35
ALBBRUCK,73,79774,8.130079,47.591149,665.33
ALBERSWEILER,17,76857,8.028507,49.219042,526.7
ALBERTSHOFEN,17,97318,10.158976,49.770836,380.76
ALBIG,10,55234,8.12235,49.773804,478.9
ALDENHOVEN,131,52457,6.281953,50.895696,523.3
ALDERSBACH,56,94501,13.086094,48.589538,438.12
ALDINGEN,76,78554,8.702513,48.094541,595.09
ALESHEIM,2,91793,10.866072,49.046568,425.89
ALETSHAUSEN,9,86480,10.389531,48.1998,526.33
ALFELD,12,91236,11.543979,49.428806,367.97
ALFHAUSEN,27,49594,7.953473,52.503379,369.25
ALFLEN,3,56828,7.040537,50.177082,513.38
ALFTER,215,53347,7.013472,50.736995,483.99
ALGERMISSEN,66,31191,9.970613,52.253687,235.19
ALHEIM,57,36211,9.66857,51.024755999999996,306.45
ALLENDORF (EDER),59,35108,8.670062,51.026336,365.99
ALLENSBACH,56,78476,9.070194,47.715742,617.6
ALLERSHAUSEN,57,85391,11.598275,48.429879,472.92
ALLING,24,82239,11.299015,48.141556,509.8
ALLMANNSHOFEN,2,86695,10.804495,48.612811,472.14
ALLMENDINGEN,50,89604,9.72429,48.330714,534.27
ALLSTEDT,72,06542,11.384492,51.401795,186.27
ALPEN,100,46519,6.511241,51.575134,483.33
ALPENROD,12,57642,7.869988,50.631178,436.69
ALSDORF,382,52477,6.161607,50.874052,532.02
ALSDORF1,439,54668,6.465431,49.887732,565.44
ALSDORF2,447,57518,7.882849,50.77617,427.83
ALSENZ,18,67821,7.8152,49.724272,499.15
ALSHEIM,18,67577,8.341322,49.767929,467.68
ALSLEBEN (SAALE),12,06425,11.67745,51.700463,149.23
ALT METELN,10,19069,11.339597,53.747671,194.16
ALT TUCHEBAND,2,15328,14.511961,52.536635,74.99
ALTBACH,42,73776,9.380166,48.723629,509.13
ALTDOEBERN,16,03229,14.035029,51.651872,105.81
ALTDORF,4,67482,8.215757,49.286213,511.91
ALTDORF1,1,71155,8.995571,48.630941,533.26
ALTDORF2,5,72655,9.271505,48.594688,525.54
ALTEFAEHR,9,18573,13.126612,54.330671,202.41
ALTEGLOFSHEIM,24,93087,12.203745,48.919919,409.59
ALTENAHR,9,53505,6.991859,50.517326,496.79
